instance_name,region,size,total_depots,total_orders,total_possible_score,total_score_achieved,score_ratio,orders_completed,orders_failed,completion_rate,total_distance_km,total_flight_time_hours,total_idle_time_hours,drone_utilization,average_delivery_time,average_assignment_time_ms,cross_depot_operations,gnn_cross_depot_decisions,future_planning_accuracy,emergency_completed,high_completed,medium_completed,low_completed,emergency_completion_rate,high_completion_rate,medium_completion_rate,low_completion_rate,model_used,gnn_predictions_made
texas_small_4,texas,small,5,100,358,265,0.740223464,77,9,0.77,250.7221532,2.225598721,27.80833333,0.074102809,3.117738728,0.098838911,73,86,0,3,12,37,25,0.6,0.857142857,0.711538462,0.862068966,Enhanced_Heuristic,0
utah_large_0,utah,large,15,400,1436,429,0.298746518,167,12,0.4175,1473.932943,13.08373924,132.9166667,0.089614403,6.462179295,0.281099192,157,371,0,1,16,76,74,0.052631579,0.285714286,0.350230415,0.685185185,Enhanced_Heuristic,0
utah_large_1,utah,large,15,400,1360,397,0.291911765,139,39,0.3475,1208.192028,10.72482267,142.6833333,0.069910381,6.24250453,0.307734983,125,335,0,4,14,59,62,0.25,0.264150943,0.282296651,0.508196721,Enhanced_Heuristic,0
utah_large_2,utah,large,15,400,1412,395,0.279745042,135,21,0.3375,1205.425084,10.70026119,141.6583333,0.070230769,6.61792628,0.258982339,126,353,0,5,12,59,59,0.25,0.203389831,0.312169312,0.446969697,Enhanced_Heuristic,0
utah_large_3,utah,large,15,400,1540,474,0.307792208,160,9,0.4,1365.567898,12.12180945,135.9916667,0.081841368,6.742067601,0.229478797,147,357,0,7,14,66,73,0.24137931,0.237288136,0.347368421,0.598360656,Enhanced_Heuristic,0
utah_large_4,utah,large,15,400,1534,363,0.236636245,139,15,0.3475,1185.494326,10.52334077,141.8083333,0.069081764,6.523416576,0.230403999,133,362,0,3,11,58,67,0.115384615,0.183333333,0.282926829,0.614678899,Enhanced_Heuristic,0
utah_medium_0,utah,medium,10,200,704,384,0.545454545,120,14,0.6,767.1885609,6.810143652,73.73333333,0.084552392,4.669603412,0.282484998,116,178,0,4,14,62,40,0.363636364,0.608695652,0.58490566,0.666666667,Enhanced_Heuristic,0
utah_medium_1,utah,medium,10,200,828,269,0.324879227,83,30,0.415,485.9328258,4.313505854,84.15833333,0.048755693,5.225952884,0.210627388,79,157,0,4,11,32,36,0.25,0.289473684,0.363636364,0.620689655,Enhanced_Heuristic,0
utah_medium_2,utah,medium,10,200,740,324,0.437837838,108,16,0.54,679.5507719,6.032204612,76.61666667,0.072985929,5.223750152,0.160322241,99,168,0,3,15,42,48,0.272727273,0.405405405,0.512195122,0.685714286,Enhanced_Heuristic,0
utah_medium_3,utah,medium,10,200,784,466,0.594387755,128,21,0.64,726.2666752,6.446890164,73.975,0.080163375,4.171017054,0.218191626,118,166,0,7,20,60,41,0.538461538,0.571428571,0.625,0.732142857,Enhanced_Heuristic,0
utah_medium_4,utah,medium,10,200,770,399,0.518181818,119,6,0.595,737.7656486,6.548963715,73.53333333,0.08177792,4.944877618,0.204462366,105,171,0,6,13,59,41,0.545454545,0.371428571,0.572815534,0.803921569,Enhanced_Heuristic,0
utah_small_0,utah,small,5,100,372,261,0.701612903,77,7,0.77,258.47326,2.294403385,27.25,0.077659493,2.937751559,0.087550891,66,79,0,5,8,33,31,0.833333333,0.470588235,0.76744186,0.911764706,Enhanced_Heuristic,0
utah_small_1,utah,small,5,100,356,178,0.5,64,10,0.64,219.8147251,1.951241105,30.275,0.060548207,3.620471065,0.067154566,56,76,0,1,5,35,23,0.2,0.416666667,0.614035088,0.884615385,Enhanced_Heuristic,0
utah_small_2,utah,small,5,100,408,287,0.703431373,73,11,0.73,236.2241982,2.09690395,28.475,0.06858925,3.045547354,0.110545855,70,84,0,5,13,33,22,0.714285714,0.684210526,0.6875,0.846153846,Enhanced_Heuristic,0
utah_small_3,utah,small,5,100,348,259,0.744252874,79,8,0.79,257.9117769,2.289419238,27.25833333,0.077482009,2.836250498,0.115438648,67,79,0,4,8,38,29,0.8,0.615384615,0.76,0.90625,Enhanced_Heuristic,0
utah_small_4,utah,small,5,100,366,231,0.631147541,73,7,0.73,256.0851685,2.273204885,28.84166667,0.073058469,3.447538093,0.085684561,63,80,0,3,9,31,30,0.6,0.5,0.704545455,0.909090909,Enhanced_Heuristic,0
